sdfgdsg,,,,,,,,,,,,,,
 System,Band,Test Item,Ch,Cell Power,Lower,Upper,Unit,Result,Judgement,,,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;QPSK-PRB@0,20450,-57.2,None,None,dB,24.71,PASS,,,,,Test plan path: C:\Users\jaynechiu\Desktop\Anritsu_20190624\Report\2021_11_02\P10_p1.0_LTE_B5_8_18_19_20_26_all_NC_23_35_16_F.txt
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;QPSK-PRB@0,20450,-57.2,None,-29.2,dB,-45.11,PASS,,,,,PLAN NAME:LB_NC_P22
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;QPSK-PRB@0,20450,-57.2,None,-29.2,dB,-54.6,PASS,,,,,PLAN START TIME:2021-11-02 20:05:52
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;QPSK-PRB@0,20450,-57.2,None,-35.2,dB,-58.03,PASS,,,,,RF INSTRUMENT:MT8820C
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;QPSK-PRB@0,20450,-57.2,None,-32.2,dB,-45.87,PASS,,,,,------------------------------------------
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;QPSK-PRB@0,20450,-57.2,None,-32.2,dB,-58.05,PASS,,,,,Cable Loss:Freq[MHz]In/Out[dB]
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;QPSK-PRB@0,20450,-57.2,None,-35.2,dB,-58.66,PASS,,,,,"            	600		3.9/3.9/3.9"
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;QPSK-PRB@Max,20450,-57.2,None,None,dB,24.76,PASS,,,,,"            	900		3.9/3.9/3.9"
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;QPSK-PRB@Max,20450,-57.2,None,-29.2,dB,-53.58,PASS,,,,,"            	1700		4.2/4.2/4.2"
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;QPSK-PRB@Max,20450,-57.2,None,-29.2,dB,-41.62,PASS,,,,,"            	2100		4.2/4.2/4.2"
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;QPSK-PRB@Max,20450,-57.2,None,-35.2,dB,-57.97,PASS,,,,,"            	2200		4.5/4.5/4.5"
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;QPSK-PRB@Max,20450,-57.2,None,-32.2,dB,-56.49,PASS,,,,,"            	2700		4.5/4.5/4.5"
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;QPSK-PRB@Max,20450,-57.2,None,-32.2,dB,-42.23,PASS,,,,," Antenna Configuration:	SINGLE"
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;QPSK-PRB@Max,20450,-57.2,None,-35.2,dB,-56.65,PASS,,,,," DUT IMEI:		NA"
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;QPSK-FRB,20450,-57.2,None,None,dB,23.89,PASS,,,,," Total item count:	14706"
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;QPSK-FRB,20450,-57.2,None,-29.2,dB,-43.45,PASS,,,,," Pass item count:	14398"
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;QPSK-FRB,20450,-57.2,None,-29.2,dB,-43.92,PASS,,,,," Fail item count:	235"
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;QPSK-FRB,20450,-57.2,None,-35.2,dB,-49.85,PASS,,,,," INC item count:	73"
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;QPSK-FRB,20450,-57.2,None,-32.2,dB,-45.39,PASS,,,,,------------------------------------------
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;QPSK-FRB,20450,-57.2,None,-32.2,dB,-46.32,PASS,,,,,PLAN END TIME:2021-11-02 23:35:14
